date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:21:14	3006/3006	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:13%20GMT	https://www.whonix.org/pipermail/	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/index.html	(from )
04:21:14	224/224	---MCZ	200	added ('OK')	text/plain	etag:W/%225c3b0592-17f%22	https://www.whonix.org/robots.txt		(from )
04:21:15	2596/2596	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:15%20GMT	https://www.whonix.org/pipermail/test/	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/test/index.html	(from https://www.whonix.org/pipermail/)
04:21:15	2607/2607	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:15%20GMT	https://www.whonix.org/pipermail/mailman/	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/mailman/index.html	(from https://www.whonix.org/pipermail/)
04:21:16	27358/27358	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:16%20GMT	https://www.whonix.org/pipermail/whonix-devel/	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/index.html	(from https://www.whonix.org/pipermail/)
04:21:16	4822/4822	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:16%20GMT	https://www.whonix.org/pipermail/whonix-users/	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-users/index.html	(from https://www.whonix.org/pipermail/)
04:21:17	3649/3649	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:16%20GMT	https://www.whonix.org/pipermail/whonix-devel/2020-April/thread.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-April/thread.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:17	2630/2630	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:16%20GMT	https://www.whonix.org/pipermail/whonix-newsletter/	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-newsletter/index.html	(from https://www.whonix.org/pipermail/)
04:21:17	3023/3023	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:16%20GMT	https://www.whonix.org/pipermail/whonix-testmailinglist/	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-testmailinglist/index.html	(from https://www.whonix.org/pipermail/)
04:21:18	3648/3648	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:17%20GMT	https://www.whonix.org/pipermail/whonix-devel/2020-April/subject.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-April/subject.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:19	3649/3649	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:18%20GMT	https://www.whonix.org/pipermail/whonix-devel/2020-April/author.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-April/author.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:20	3651/3651	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:19%20GMT	https://www.whonix.org/pipermail/whonix-devel/2020-April/date.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-April/date.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:21	1417/1417	---MCZ	200	added ('OK')	text/plain	etag:W/%225e94b280-589%22	https://www.whonix.org/pipermail/whonix-devel/2020-April.txt	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-April.txt	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:22	6775/6775	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:21%20GMT	https://www.whonix.org/pipermail/whonix-devel/2020-March/thread.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-March/thread.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:23	6763/6763	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:22%20GMT	https://www.whonix.org/pipermail/whonix-devel/2020-March/subject.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-March/subject.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:24	6764/6764	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:23%20GMT	https://www.whonix.org/pipermail/whonix-devel/2020-March/author.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-March/author.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:25	6766/6766	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:24%20GMT	https://www.whonix.org/pipermail/whonix-devel/2020-March/date.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-March/date.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:25	7713/7713	---M--	200	added ('OK')	application/octet-stream	etag:%225e829c65-1e21%22	https://www.whonix.org/pipermail/whonix-devel/2020-March.txt.gz	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-March.txt.gz	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:27	5385/5385	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:26%20GMT	https://www.whonix.org/pipermail/whonix-devel/2020-February/thread.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-February/thread.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:28	5340/5340	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:27%20GMT	https://www.whonix.org/pipermail/whonix-devel/2020-February/subject.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-February/subject.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:29	5341/5341	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:28%20GMT	https://www.whonix.org/pipermail/whonix-devel/2020-February/author.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-February/author.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:30	5343/5343	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:29%20GMT	https://www.whonix.org/pipermail/whonix-devel/2020-February/date.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-February/date.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:30	12628/12628	---M--	200	added ('OK')	application/octet-stream	etag:%225e5b1d75-3154%22	https://www.whonix.org/pipermail/whonix-devel/2020-February.txt.gz	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-February.txt.gz	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:32	5831/5831	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:31%20GMT	https://www.whonix.org/pipermail/whonix-devel/2020-January/thread.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-January/thread.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:33	5786/5786	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:32%20GMT	https://www.whonix.org/pipermail/whonix-devel/2020-January/subject.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-January/subject.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:34	5787/5787	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:33%20GMT	https://www.whonix.org/pipermail/whonix-devel/2020-January/author.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-January/author.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:35	5789/5789	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:34%20GMT	https://www.whonix.org/pipermail/whonix-devel/2020-January/date.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-January/date.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:35	7147/7147	---M--	200	added ('OK')	application/octet-stream	etag:%225e34e1f5-1beb%22	https://www.whonix.org/pipermail/whonix-devel/2020-January.txt.gz	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2020-January.txt.gz	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:37	4552/4552	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:36%20GMT	https://www.whonix.org/pipermail/whonix-devel/2019-December/thread.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2019-December/thread.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:38	4551/4551	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:37%20GMT	https://www.whonix.org/pipermail/whonix-devel/2019-December/subject.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2019-December/subject.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:39	4552/4552	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:38%20GMT	https://www.whonix.org/pipermail/whonix-devel/2019-December/author.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2019-December/author.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:40	4554/4554	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:39%20GMT	https://www.whonix.org/pipermail/whonix-devel/2019-December/date.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2019-December/date.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:40	5547/5547	---M--	200	added ('OK')	application/octet-stream	etag:%225e0ab1f5-15ab%22	https://www.whonix.org/pipermail/whonix-devel/2019-December.txt.gz	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2019-December.txt.gz	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:42	5655/5655	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:41%20GMT	https://www.whonix.org/pipermail/whonix-devel/2019-November/thread.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2019-November/thread.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:43	5599/5599	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:42%20GMT	https://www.whonix.org/pipermail/whonix-devel/2019-November/subject.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2019-November/subject.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:44	5600/5600	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:43%20GMT	https://www.whonix.org/pipermail/whonix-devel/2019-November/author.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2019-November/author.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:45	5602/5602	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:44%20GMT	https://www.whonix.org/pipermail/whonix-devel/2019-November/date.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2019-November/date.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:45	7861/7861	---M--	200	added ('OK')	application/octet-stream	etag:%225de081f5-1eb5%22	https://www.whonix.org/pipermail/whonix-devel/2019-November.txt.gz	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2019-November.txt.gz	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:47	5523/5523	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:46%20GMT	https://www.whonix.org/pipermail/whonix-devel/2019-October/thread.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2019-October/thread.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:48	5489/5489	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:47%20GMT	https://www.whonix.org/pipermail/whonix-devel/2019-October/subject.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2019-October/subject.html	(from https://www.whonix.org/pipermail/whonix-devel/)
04:21:49	5490/5490	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2008:21:48%20GMT	https://www.whonix.org/pipermail/whonix-devel/2019-October/author.html	/home/user/My%20Web%20Sites/whonix-mailinglist/www.whonix.org/pipermail/whonix-devel/2019-October/author.html	(from https://www.whonix.org/pipermail/whonix-devel/)
